timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779467008895,166,POST /api/auth/login for JWT,200,,setUp：自动登录获取 JWT 1-1,text,true,728,253,1,1,http://localhost:9080/api/auth/login,156,0,44
1779467010078,15,GET /api/contents?page=1&pageSize=20,200,,场景一：内容列表 1-1,text,true,3426,205,1,1,http://localhost:9080/api/contents?page=1&pageSize=20,15,0,1
1779467010097,11,GET /api/feed/recommend?pageSize=20,200,,场景二：Feed 推荐流（自动携带 JWT） 2-1,text,true,3082,431,1,2,http://localhost:9080/api/feed/recommend?pageSize=20,11,0,1
1779467010094,16,GET /api/contents?page=1&pageSize=20,200,,场景一：内容列表 1-1,text,true,3426,205,1,2,http://localhost:9080/api/contents?page=1&pageSize=20,16,0,0
1779467010112,12,GET /api/feed/recommend?pageSize=20,200,,场景二：Feed 推荐流（自动携带 JWT） 2-1,text,true,2975,502,1,3,http://localhost:9080/api/feed/recommend?pageSize=20,12,0,0
1779467010112,17,GET /api/contents?page=1&pageSize=20,200,,场景一：内容列表 1-1,text,true,3426,205,1,3,http://localhost:9080/api/contents?page=1&pageSize=20,17,0,0
1779467010117,17,GET /api/hotrank/all?limit=20,200,,场景三：热榜接口 3-1,text,true,1280,198,1,3,http://localhost:9080/api/hotrank/all?limit=20,17,0,3
1779467010135,3,GET /api/hotrank/all?limit=20,200,,场景三：热榜接口 3-1,text,true,1280,198,1,3,http://localhost:9080/api/hotrank/all?limit=20,3,0,0
1779467010126,14,GET /api/feed/recommend?pageSize=20,200,,场景二：Feed 推荐流（自动携带 JWT） 2-1,text,true,2975,502,1,3,http://localhost:9080/api/feed/recommend?pageSize=20,13,0,0
1779467010138,4,GET /api/hotrank/all?limit=20,200,,场景三：热榜接口 3-1,text,true,1280,198,1,3,http://localhost:9080/api/hotrank/all?limit=20,4,0,0
1779467010143,3,GET /api/hotrank/all?limit=20,200,,场景三：热榜接口 3-1,text,true,1280,198,1,3,http://localhost:9080/api/hotrank/all?limit=20,3,0,0
1779467010131,18,GET /api/contents?page=1&pageSize=20,200,,场景一：内容列表 1-1,text,true,3426,205,1,3,http://localhost:9080/api/contents?page=1&pageSize=20,18,0,0
1779467010147,4,GET /api/hotrank/all?limit=20,200,,场景三：热榜接口 3-1,text,true,1280,198,1,4,http://localhost:9080/api/hotrank/all?limit=20,4,0,0
1779467010152,2,GET /api/hotrank/all?limit=20,200,,场景三：热榜接口 3-1,text,true,1280,198,1,4,http://localhost:9080/api/hotrank/all?limit=20,2,0,0
1779467010142,14,GET /api/feed/recommend?pageSize=20,200,,场景二：Feed 推荐流（自动携带 JWT） 2-1,text,true,2975,502,1,4,http://localhost:9080/api/feed/recommend?pageSize=20,13,0,0
1779467010152,6,GET /api/tags/hot?limit=12,200,,场景四：标签查询 4-1,text,true,880,195,1,4,http://localhost:9080/api/tags/hot?limit=12,5,0,1
1779467010155,3,GET /api/hotrank/all?limit=20,200,,场景三：热榜接口 3-1,text,true,1280,198,1,4,http://localhost:9080/api/hotrank/all?limit=20,3,0,0
1779467010159,3,GET /api/hotrank/all?limit=20,200,,场景三：热榜接口 3-1,text,true,1280,198,1,4,http://localhost:9080/api/hotrank/all?limit=20,2,0,0
1779467010159,3,GET /api/tags/hot?limit=12,200,,场景四：标签查询 4-1,text,true,880,195,1,4,http://localhost:9080/api/tags/hot?limit=12,3,0,0
1779467010162,5,GET /api/hotrank/all?limit=20,200,,场景三：热榜接口 3-1,text,true,1280,198,1,4,http://localhost:9080/api/hotrank/all?limit=20,5,0,0
1779467010151,17,GET /api/contents?page=1&pageSize=20,200,,场景一：内容列表 1-1,text,true,3426,205,1,4,http://localhost:9080/api/contents?page=1&pageSize=20,17,0,0
1779467010164,5,GET /api/tags/hot?limit=12,200,,场景四：标签查询 4-1,text,true,880,195,1,4,http://localhost:9080/api/tags/hot?limit=12,5,0,0
